,Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
0,ERR1549286,2015.0,UK,Europe,,>256,,0.016,,,,9768,1058,512.0,,0.016,,,,9.0,,-5.965784285,,,,1.0,,0.0,,,
1,ERR1549290,2015.0,UK,Europe,,>256,,0.004,,,,9768,1058,512.0,,0.004,,,,9.0,,-7.965784285,,,,1.0,,0.0,,,
2,ERR1549291,2015.0,UK,Europe,,>256,,0.006,,,,9768,1058,512.0,,0.006,,,,9.0,,-7.380821784,,,,1.0,,0.0,,,
3,ERR1549287,2015.0,UK,Europe,,>256,,0.006,,,,9768,1058,512.0,,0.006,,,,9.0,,-7.380821784,,,,1.0,,0.0,,,
4,ERR1549288,2015.0,UK,Europe,,>256,,0.008,,,,9768,1058,512.0,,0.008,,,,9.0,,-6.965784285,,,,1.0,,0.0,,,
5,ERR1549299,2015.0,UK,Europe,,>256,,0.012,,,,,0,512.0,,0.012,,,,9.0,,-6.380821784,,,,1.0,,0.0,,,
6,ERR1549292,2015.0,UK,Europe,,>256,,0.023,,,,9768,1058,512.0,,0.023,,,,9.0,,-5.442222329,,,,1.0,,0.0,,,
7,ERR1549298,2015.0,UK,Europe,,0.5,,0.094,,,,,0,0.5,,0.094,,,,-1.0,,-3.411195433,,,,0.0,,0.0,,,
8,ERR1549296,2015.0,UK,Europe,,0.5,,0.094,,,,,0,0.5,,0.094,,,,-1.0,,-3.411195433,,,,0.0,,0.0,,,
9,ERR1549300,2015.0,UK,Europe,,>256,,0.008,,,,,0,512.0,,0.008,,,,9.0,,-6.965784285,,,,1.0,,0.0,,,
10,ERR1549295,2015.0,UK,Europe,,0.75,,0.094,,,,,0,0.75,,0.094,,,,-0.415037499,,-3.411195433,,,,0.0,,0.0,,,
11,ERR1549294,2015.0,UK,Europe,,0.75,,0.094,,,,1407,127,0.75,,0.094,,,,-0.415037499,,-3.411195433,,,,0.0,,0.0,,,
12,ERR1549289,2015.0,UK,Europe,,0.75,,0.094,,,,,0,0.75,,0.094,,,,-0.415037499,,-3.411195433,,,,0.0,,0.0,,,
13,ERR1549293,2015.0,UK,Europe,,>256,,0.016,,,,11836,1059,512.0,,0.016,,,,9.0,,-5.965784285,,,,1.0,,0.0,,,
14,SRR1661154,1996.0,Canada,America,,0.25,0.5,0.125,0.125,2,2,10443,672,0.25,0.5,0.125,0.125,2.0,2.0,-2.0,-1.0,-3.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15,SRR1661156,1997.0,Canada,America,,0.25,16,0.125,0.063,2,2,10476,675,0.25,16.0,0.125,0.063,2.0,2.0,-2.0,4.0,-3.0,-3.988504361,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
16,SRR1661157,1998.0,Canada,America,,0.125,0.016,0.125,0.063,>=128,4,10469,674,0.125,0.016,0.125,0.063,256.0,4.0,-3.0,-5.965784285,-3.0,-3.988504361,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
17,SRR1661158,2000.0,Canada,America,,0.25,0.5,0.125,0.25,4,4,4138,846,0.25,0.5,0.125,0.25,4.0,4.0,-2.0,-1.0,-3.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
18,SRR1661159,2001.0,Canada,America,,0.063,0.063,0.00025,0.001,0.5,0.008,8,411,0.063,0.063,0.00025,0.001,0.5,0.008,-3.988504361,-3.988504361,-11.96578428,-9.965784285,-1.0,-6.965784285,0.0,0.0,0.0,0.0,0.0,0.0
19,SRR1661160,2001.0,Canada,America,,0.125,0.004,0.002,0.004,1,0.063,-,1,0.125,0.004,0.002,0.004,1.0,0.063,-3.0,-7.965784285,-8.965784285,-7.965784285,0.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
20,SRR1661161,2001.0,Canada,America,,0.5,16,0.125,0.25,4,4,4383,853,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
21,SRR1661162,2001.0,Canada,America,,0.063,0.004,0.004,0.008,0.125,0.063,51,563,0.063,0.004,0.004,0.008,0.125,0.063,-3.988504361,-7.965784285,-7.965784285,-6.965784285,-3.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
22,SRR1661163,2001.0,Canada,America,,0.5,0.032,0.125,0.032,4,4,108,697,0.5,0.032,0.125,0.032,4.0,4.0,-1.0,-4.965784285,-3.0,-4.965784285,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
23,SRR1661164,2001.0,Canada,America,,0.5,64,0.125,0.25,4,4,1424,129,0.5,64.0,0.125,0.25,4.0,4.0,-1.0,6.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
24,SRR1661165,2001.0,Canada,America,,0.25,0.25,0.125,0.032,2,2,84,960,0.25,0.25,0.125,0.032,2.0,2.0,-2.0,-2.0,-3.0,-4.965784285,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
25,SRR1661166,2001.0,Canada,America,,0.5,16,0.125,0.25,4,4,4383,853,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
26,SRR1661167,2002.0,Canada,America,,2,0.032,0.125,0.063,4,8,5,317,2.0,0.032,0.125,0.063,4.0,8.0,1.0,-4.965784285,-3.0,-3.988504361,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
27,SRR1661169,2004.0,Canada,America,,0.063,0.004,0.002,0.004,0.25,0.063,9022,982,0.063,0.004,0.002,0.004,0.25,0.063,-3.988504361,-7.965784285,-8.965784285,-7.965784285,-2.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
28,SRR1661171,2005.0,Canada,America,,0.063,0.004,0.002,0.004,0.25,0.125,25,190,0.063,0.004,0.002,0.004,0.25,0.125,-3.988504361,-7.965784285,-8.965784285,-7.965784285,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
29,SRR1661172,2005.0,Canada,America,,0.125,0.008,0.004,0.004,1,0.25,210,172,0.125,0.008,0.004,0.004,1.0,0.25,-3.0,-6.965784285,-7.965784285,-7.965784285,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,SRR1661174,2005.0,Canada,America,,0.063,8,0.032,0.032,1,0.5,225,179,0.063,8.0,0.032,0.032,1.0,0.5,-3.988504361,3.0,-4.965784285,-4.965784285,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
31,SRR1661176,2005.0,Canada,America,,0.5,16,0.032,0.063,4,1,1407,127,0.5,16.0,0.032,0.063,4.0,1.0,-1.0,4.0,-4.965784285,-3.988504361,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,SRR1661177,2005.0,Canada,America,,0.25,0.016,0.001,0.002,0.25,0.032,69,381,0.25,0.016,0.001,0.002,0.25,0.032,-2.0,-5.965784285,-9.965784285,-8.965784285,-2.0,-4.965784285,0.0,0.0,0.0,0.0,0.0,0.0
33,SRR1661178,2005.0,Canada,America,,0.063,0.016,0.0005,0.001,0.25,0.032,545,331,0.063,0.016,0.0005,0.001,0.25,0.032,-3.988504361,-5.965784285,-10.96578428,-9.965784285,-2.0,-4.965784285,0.0,0.0,0.0,0.0,0.0,0.0
34,SRR1661179,2006.0,Canada,America,,0.25,1,0.125,0.063,>=128,128,1056,677,0.25,1.0,0.125,0.063,256.0,128.0,-2.0,0.0,-3.0,-3.988504361,8.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0
35,SRR1661180,2006.0,Canada,America,,0.032,0.004,0.002,0.004,0.25,0.25,2,536,0.032,0.004,0.002,0.004,0.25,0.25,-4.965784285,-7.965784285,-8.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,SRR1661181,2006.0,Canada,America,,0.125,2,0.125,0.25,2,4,4014,844,0.125,2.0,0.125,0.25,2.0,4.0,-3.0,1.0,-3.0,-2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
37,SRR1661182,2006.0,Canada,America,,0.125,2,0.125,0.25,2,4,4014,844,0.125,2.0,0.125,0.25,2.0,4.0,-3.0,1.0,-3.0,-2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
38,SRR1661184,2006.0,Canada,America,,0.5,4,0.032,0.016,2,1,3108,817,0.5,4.0,0.032,0.016,2.0,1.0,-1.0,2.0,-4.965784285,-5.965784285,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39,SRR1661185,2006.0,Canada,America,,0.25,16,0.125,0.25,4,2,225,179,0.25,16.0,0.125,0.25,4.0,2.0,-2.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
40,SRR1661186,2006.0,Canada,America,,0.25,4,0.016,0.016,1,1,3108,817,0.25,4.0,0.016,0.016,1.0,1.0,-2.0,2.0,-5.965784285,-5.965784285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
