X	Y	Z
-3.983367	-6.991335	1.9935887
2.4185255	-1.4829832	-8.479468
2.961869	-1.2709191	-8.282016
2.3639007	-1.0593126	-8.616866
-4.215435	-12.199758	-1.9605436
-3.9831166	-6.9911194	1.99335
-4.7273088	-5.7820425	0.592003
-10.165074	-1.7685475	-6.2042675
-3.614074	-11.509346	-1.1194527
-10.909147	-2.6720371	-3.9812856
2.22067	-15.99436	4.4147587
7.721361	0.120796785	8.033702
-4.314967	-7.4336486	-2.1104832
-10.504826	-2.592734	-7.0283146
7.7198377	0.14223796	8.026532
-4.2977543	-7.0892	2.2429063
-4.261016	-7.3707376	-2.109212
-4.244916	-7.4985485	-2.3156362
-4.104684	-7.5427523	-2.1109297
-9.941848	-1.6073433	-6.3537235
-4.012109	-7.587422	-2.1907523
-4.028313	-7.6195984	-2.2259045
-4.3573728	-6.424828	1.3831142
-10.140415	-1.8012927	-6.2390575
-4.7739477	-5.695858	0.51320976
10.387775	3.9276454	6.0629807
-3.8876772	-7.2889795	2.3002605
0.8486575	-16.548548	3.1672242
-4.3909535	-6.836509	-1.8811796
-3.8876557	-7.289025	2.300289
-14.726469	-3.7721107	-3.954904
-2.5696788	-14.406122	-0.29008198
15.195418	-9.057561	-7.1230664
-10.132407	-1.9882007	-5.9570923
-0.8830583	-16.078035	1.3904421
-0.8860245	-16.07929	1.393335
-0.88374066	-16.074224	1.3925757
-10.866865	-2.3809175	-4.303998
-10.368078	-1.5063211	-6.367372
-10.122492	-1.9994868	-5.9598465
-3.946272	-7.059664	2.0556252
-13.909307	-3.4194627	-3.915912
0.85015494	-16.548454	3.1661973
-14.39262	-2.1666408	-5.0605783
-6.291268	2.7770073	11.328757
-9.902909	-1.6803113	-6.3426147
-0.88151395	-16.094398	1.3851757
1.5128359	-16.469421	4.2541203
-10.18866	-1.6688688	-6.3221035
2.1592302	-15.9454775	4.5613203
-3.6235394	-11.512186	-1.123042
-4.325224	-6.5791397	1.6176425
-14.391159	-2.172385	-5.0553994
-4.294739	-7.0879235	2.240181
-4.3252397	-6.579093	1.6176668
-14.455839	-2.8779025	-4.448648
1.4525065	11.158138	-12.625399
14.339754	-3.6978304	-4.6243496
-6.725157	2.8545413	11.454825
-4.294739	-7.0879235	2.240181
-3.887708	-7.2890015	2.300296
0.85147583	-16.549667	3.165095
-0.41763678	-16.26442	1.8390396
-10.17215	-1.8850362	-6.0958424
-9.75815	-1.4833164	-6.576994
-10.44297	-2.1033902	-5.4554696
-3.982985	-6.9911246	1.9932996
-3.527812	-11.661713	-1.0883067
0.6740924	13.901521	-3.7399027
-14.717817	-2.2416124	-4.915435
-3.3450942	-10.432702	-1.6379604
-4.06639	-8.8026905	-2.0057092
-3.4259312	-12.174982	-0.86014044
-4.493171	1.4687119	9.544815
-1.1169977	8.480022	4.636583
-4.0541244	-8.825596	-2.031799
-3.4816294	-12.199968	-0.8389976
-4.0496345	-8.81808	-2.0235307
-1.5172235	7.800653	5.5571322
-1.5168111	7.8009076	5.557175
1.2559717	-16.784582	3.8746705
-1.4643154	7.8874965	5.4331207
-4.114791	-12.5182905	-1.756896
-2.1934373	-15.124498	0.24236989
1.167901	10.075189	-13.081197
-1.4922299	7.841478	5.498178
-1.461453	7.8923826	5.4261775
-1.4961947	7.8348875	5.5077677
-1.4760739	7.8680906	5.460336
-3.3278744	-8.690001	-3.0593476
0.8779905	9.769226	-13.558303
3.1411421	-2.2912085	-6.10146
2.9145632	-2.551888	-5.502763
-3.8658626	-1.3380766	11.598028
3.397615	-2.6517873	-5.463843
2.6281	0.015869994	-10.044737
-0.92931	8.801889	4.2058554
-0.6289046	9.327647	3.5038965
10.44968	3.9628491	5.971736
12.282777	4.47935	2.8619182
-10.899134	-2.3738744	-4.1641016
-4.04533	-8.821774	-2.0352674
-3.4617517	-12.193821	-0.83128726
-5.3471866	2.6116762	11.027299
-1.7052295	2.3485706	10.272554
-5.3575616	2.6135924	11.031231
-3.9812407	-6.9906178	1.9928291
-4.042868	-8.816552	-2.0284524
-3.4659543	-12.197141	-0.8335536
3.496427	-2.5769825	-5.324909
-10.749917	-1.4185776	-5.660963
3.2644455	-2.7788842	-5.336674
3.9449835	-2.7203503	-0.21470895
3.9450488	-2.7201436	-0.21482925
7.9839115	0.9160491	8.0089
1.0836565	11.254173	-0.36450112
3.2182825	-1.42866	-8.890669
2.1649318	-1.8462703	-9.502374
3.084989	-1.25531	-8.44894
-3.5281162	-8.568864	-3.0595453
-14.410168	-2.1431694	-5.0598454
2.3116112	-1.2558763	-8.719568
0.17174232	10.586572	1.3624713
3.0438218	-0.9657425	-8.922204
-1.5342683	7.772465	5.5987153
2.4022887	-1.1401944	-8.964411
-15.235329	-2.2176197	-3.4509876
2.6952593	-1.5295483	-9.218576
-16.837383	-4.0000014	-3.7400727
3.3138032	-2.1406903	-5.46478
2.7417333	-1.7733325	-8.678986
0.6013893	11.146767	0.14980637
2.6349714	-1.6239759	-8.415
-2.0125394	6.846196	6.89447
-0.9117698	8.832367	4.16593
-0.010681297	10.3663225	1.9293916
2.037522	-2.069731	-9.657677
6.896666	-1.3799393	8.053347
6.2000785	-1.3949276	6.8154664
-2.5100396	-14.664049	-0.12307517
3.1931906	-2.128445	-5.5573063
6.1954713	-1.9236475	7.648053
6.040735	-1.8865311	7.6621146
-10.468225	1.8038293	-4.0708284
6.753125	-1.4495658	6.815113
6.6837277	-0.64656496	7.3467464
6.795018	-2.141516	7.4882345
7.0313587	-0.9769895	7.582337
-4.9422975	2.5692103	7.4229317
6.931896	-1.4693842	7.1747284
-2.8402267	-14.745063	0.016596058
3.0594726	-2.1752377	-6.1976156
6.7586803	-0.7355621	7.6528473
-3.3237822	-14.247296	-0.23302603
6.628842	-1.8777815	6.963814
7.0514255	-1.2937559	7.4114747
6.581712	-0.7328314	7.071475
6.305828	-2.2168598	7.389169
6.7224183	-0.7433687	7.0329895
6.6414146	-0.9622498	7.7740984
-2.5205657	-14.670466	-0.11864337
6.5113583	-1.3436968	6.673221
0.7221166	-16.60187	3.0328462
7.068511	-1.0847692	7.1418285
7.003624	-1.068526	7.0573854
6.8120327	-1.6155384	7.740721
6.595377	-1.8760489	7.7760153
6.478958	-1.2245867	6.728189
5.5359735	-1.1682059	7.5157456
5.937529	-1.1866361	7.0030193
5.778868	-1.3256205	7.1992736
5.772361	-1.0582176	7.2562737
5.7785535	-1.3259426	7.199539
3.3018565	-2.5372696	-5.7702203
2.4300005	2.4439282	-12.074834
6.307545	-1.4427482	7.901711
-3.3291218	-14.2484255	-0.2330209
1.6827391	10.60642	-13.030247
-3.7462385	-2.9952161	10.494226
7.933716	0.7917318	8.024604
-3.7749326	-2.2675195	10.96055
2.7583585	-0.6534336	-9.307197
2.4402058	-1.3892945	-9.140821
0.6070849	11.198467	0.061502818
2.8378556	-1.7422583	-8.594135
2.9878604	-0.8653883	-8.857269
-4.727286	-5.7808366	0.5927379
-4.038664	-12.7129545	-1.6252453
-3.9353569	-7.061497	2.0547023
-3.3621066	-1.9819586	10.66188
1.1689975	10.075559	-13.080253
-3.8119795	-9.425033	-2.021564
-0.18215646	10.024626	2.0760267
2.6301744	-0.97493696	-8.349891
2.5673478	-0.83530587	-8.5551
-4.442002	-6.311507	1.2773649
-4.38656	-1.6249207	10.197107
1.2522411	10.529835	-12.940443
-3.304237	-2.2157416	10.891665
1.8228989	6.387362	-14.155216
-4.553053	-10.020558	-2.807282
4.0515637	-2.6185117	-0.242986
3.955539	-2.7142406	-0.19205476
4.0873795	-2.6750813	0.7351787
-3.5610821	-2.8886106	9.975837
-1.6455638	2.4113941	10.212703
-1.4916037	2.7987132	9.940277
3.964184	-2.7217548	-0.07489643
10.845463	4.3534083	5.5220747
10.970756	4.164461	5.556994
-2.1980474	-15.078434	0.2158625
1.4777279	11.210401	-12.578478
1.7513708	-16.691776	4.113344
3.6037216	-2.7538419	-2.5136297
-3.8030179	-11.933721	-0.8251389
3.6056483	-2.7544334	-2.5009112
3.6073909	-2.7545528	-2.4926317
3.6101258	-2.7550895	-2.4716742
2.7781904	-1.1236365	-8.246966
3.6115446	-2.7553797	-2.4634774
-0.2607994	9.787547	2.6096377
-2.583329	-14.50123	-0.23130108
4.2935443	-2.5695624	2.1924734
4.2941604	-2.5694747	2.1925318
-4.5649567	-10.030365	-2.7873096
-3.8430696	-2.6347916	10.835763
-5.4488053	2.630241	11.06429
-3.6609402	-8.948353	-2.8273695
0.9459942	14.038737	-3.078404
-6.639197	2.837555	11.429467
10.750954	4.362468	5.4461627
10.642474	4.202481	5.2944994
-1.4456298	-16.052195	0.56226325
0.014050661	10.019254	2.144696
-3.8304644	-11.942227	-0.80223584
-6.538731	2.8204157	11.400101
1.7520946	-16.692226	4.1126056
10.617385	4.2854376	5.3860083
1.0603033	5.820127	-13.100876
2.8110178	-0.807809	-8.5723915
1.508118	11.247035	-12.545197
10.47974	4.137016	5.519616
10.833902	4.0484548	5.765718
-3.3082297	-2.9906008	10.455654
-1.7467792	7.4278035	6.1071415
-11.300339	9.690507	-4.514263
-4.314031	-9.746756	-2.4444635
2.929465	-1.8244706	-7.2386446
4.190374	-2.6217098	1.4776995
-2.23231	5.6999354	9.393346
3.2265332	-1.2744325	-8.740946
12.674218	4.3386993	2.2711244
4.1903467	-2.6217287	1.4777128
-1.3757436	3.2154098	9.658524
12.699681	4.349307	2.2684627
4.3459578	-2.556553	2.4123602
4.3406024	-2.5537884	2.4303155
4.288698	-2.567782	2.2040565
4.337506	-2.5525272	2.4370518
10.953105	4.1117425	5.5218787
1.8672191	6.0620894	-14.222465
2.6203716	-0.23748729	-9.866673
2.5971627	-0.27296102	-9.884288
-5.4483914	2.6302261	11.064108
10.946161	4.10774	5.5135446
1.5949088	6.2650704	-14.324753
1.5932299	6.2653484	-14.32653
10.819469	3.985099	5.4091163
-0.42321286	9.687811	3.0105724
12.524759	4.438026	2.117775
12.789653	4.4472203	2.1992807
12.5172	4.4446635	2.1451778
12.532788	4.4564962	2.1064568
-4.487368	-2.5973015	10.350049
-2.668671	6.201652	9.645913
-1.3867778	3.1543171	9.699962
-3.9958782	-2.6479192	9.920325
12.752857	4.5264244	2.1326616
-0.17806974	10.021662	2.0776036
12.89089	4.0251637	1.5335745
4.0682745	-2.682584	0.6007329
12.893123	4.017964	1.5270339
-4.2615514	-2.876017	10.096718
4.181371	-2.627423	1.3940175
-4.1299896	-9.079248	-2.4953935
-5.448391	2.6302404	11.064133
10.63839	4.2006474	5.2928495
4.037929	-2.6973953	0.39843306
-11.134858	6.886503	-4.541338
0.010835193	10.017664	2.1425087
-4.4820395	1.3550692	9.54357
12.75177	4.3650064	2.233822
12.722411	4.5346856	2.1177998
-2.8327608	6.3117423	9.625101
3.3867934	-2.6862426	-4.1035705
12.757135	4.375374	2.2318826
-4.6508527	-2.6886964	10.131664
9.588008	3.0869403	6.8531604
12.5409975	4.4738193	2.098266
-4.773312	-5.6934543	0.5148405
-4.5012274	1.4820895	9.555987
-4.363494	-2.720359	9.794872
12.892401	4.0117235	1.5160878
1.6615772	10.165567	-13.402313
-4.4192915	-7.3043704	-2.971521
2.177156	-16.102764	4.384214
-3.6781752	-11.472054	-1.24186
-3.7767434	5.3954496	8.852457
3.1573906	-2.103422	-5.404591
2.8821006	-2.5581903	-5.1572876
2.9053922	-2.3249817	-5.1450486
2.9364052	-2.3253229	-5.711903
-6.703099	2.8499234	11.44815
-14.69648	-3.4388475	6.021905
-13.2811165	-2.5030603	5.5611925
-10.963822	-1.4196057	-5.501249
-11.385465	-1.1049491	-4.954792
-14.674857	-4.600116	-3.6673076
-3.6353457	-3.297191	9.815055
-0.9138871	8.829644	4.169185
-14.588619	-2.540988	-4.709791
-4.5192127	-7.2131743	-3.5364766
12.955338	3.6991696	1.2279197
-10.204342	-2.2185318	-5.53376
-6.703038	2.8499138	11.448128
-6.7181115	2.8531182	11.452857
-0.19923224	-16.34925	2.0547597
-0.1983583	-16.349226	2.0537925
-6.725092	2.854532	11.4548025
-3.513405	-3.7671208	9.308257
-14.325204	-2.3910964	-4.870071
-10.92814	-2.5143988	-3.9943225
-10.232031	-2.320018	-5.385716
-10.66134	-1.6154745	-5.9761777
2.524393	1.4051151	-11.339065
14.33649	-3.865388	-4.6878915
-15.569049	-2.7963266	-4.672119
-17.123224	-4.4149942	-4.0839815
-10.976262	-2.7234309	-3.8555827
0.10895328	9.53563	-13.528104
-10.262098	-1.242003	-6.1524863
0.88705784	9.766937	-13.561436
9.94139	3.615549	6.341853
11.236877	4.333376	4.727938
9.631505	3.5957286	6.1214614
11.273912	4.3473883	4.658848
3.6824975	-2.7554152	-1.9976289
6.1996617	-1.0093086	7.6086273
-4.4377236	-7.7026396	-2.072972
-2.9222007	-8.552848	-3.6470344
-4.4183745	-7.838372	-2.09389
-4.3865495	-7.877018	-2.1420078
7.933553	0.7954283	8.024795
-4.303615	-7.910596	-2.055717
1.547205	-16.844276	3.6204648
-15.057009	-3.2625206	-4.384795
2.3025768	4.6974745	-12.179275
1.7962234	4.4846888	-12.678878
1.7441906	4.405963	-13.003556
-5.413333	2.6238627	11.052141
-10.770859	-1.8183247	-5.569806
-15.540707	-2.7507744	-4.7467113
7.933554	0.7953886	8.024792
-15.552416	-2.7418332	-4.724854
-4.3574615	-6.4246526	1.3828863
-3.8746984	-9.64217	-1.7751466
-14.795553	-4.622155	-3.6597912
-9.948281	-1.6679057	-6.320807
1.8041383	5.1190076	-12.633946
1.5982498	5.12039	-12.37156
1.9354459	4.5707273	-12.83421
1.9942225	5.2334104	-12.472177
6.2707887	-0.82469904	7.404472
1.4316573	-16.092344	3.834767
1.7889379	5.197423	-12.254743
1.5621911	5.0729165	-12.22528
1.6439525	4.885505	-12.782939
1.6222284	-16.134504	3.6563578
2.136894	5.239507	-12.102195
1.8243675	-16.300352	3.5479584
1.4444853	-16.088943	3.8197575
2.1398435	5.0951915	-12.052927
2.5012019	1.7854367	-11.663753
7.934075	0.80193955	8.024881
1.550828	4.828117	-12.587698
4.110964	-2.663878	0.8894807
2.9790156	5.282771	-11.786547
2.2648861	4.602911	-12.659556
2.3803604	4.9229383	-12.298536
2.5342047	4.850161	-12.49865
1.4451511	4.8174715	-13.0684595
0.415706	10.999624	0.5213639
2.4944148	1.802229	-11.657515
2.1908014	4.9338727	-12.612144
-10.712151	-1.870568	-5.713808
-3.415754	-3.7976248	9.266629
-3.6999664	-11.213096	-1.248256
-3.8210518	-12.480065	-1.2003535
-4.201035	-2.8638155	10.651585
-5.4327345	-2.8246655	10.436782
2.9994862	-2.282961	-5.777341
14.474789	-1.6211953	-3.8716817
12.852617	4.2714424	1.74799
-2.1320333	3.4681933	6.834848
9.0142565	2.334548	7.3825846
-2.1320333	3.4681933	6.834848
-13.948139	-2.3549516	5.4002204
-14.733006	-1.9208184	5.370845
0.5172795	11.178283	0.15746395
3.9249012	-2.716711	-0.3833497
-15.54666	-1.8653699	-3.077658
-2.6089442	-14.505177	-0.222068
-10.281125	1.634143	-3.7705262
-9.912904	1.2154202	-3.2282035
-3.2095675	-2.5512521	11.05354
0.8139025	10.424115	-13.25775
-3.2101817	-2.5494533	11.054617
-3.8976915	-12.062126	-0.9325702
-4.0802455	-2.5945895	11.128683
-4.210148	-9.737319	-2.5496392
-3.6612155	3.354731	7.2113395
-1.5398959	4.694171	8.58329
-3.5017858	3.751363	7.204081
-14.464738	-1.4870138	5.9815216
-3.4569588	-1.8894712	10.351563
-3.3517022	5.8130794	9.233256
-3.2478411	-2.2741015	10.217957
-3.3517022	5.8130794	9.233256
-3.2596178	-1.9525545	10.2154875
13.296801	2.4467676	-0.03546964
0.46808553	11.083337	0.34616336
10.105812	3.6796143	6.3765125
-14.740722	-3.3827085	6.0121694
-13.675449	-2.0122352	5.1115375
-3.12417	-2.683956	10.077679
0.8109248	10.416918	-13.25714
-14.645929	-1.9885962	5.5520062
-5.1995883	2.5718298	10.972296
-2.1320333	3.4681933	6.834848
-1.5331776	-15.721466	0.8846048
-14.029612	-1.5963706	5.3390427
-14.0654955	-1.8983492	5.723457
-14.110077	-2.0866187	4.959653
-14.223002	-1.9649024	5.740932
-14.43918	-2.0139344	5.701249
-14.391337	-2.2953584	5.113833
11.82381	4.4229345	3.6785877
-14.052011	-2.0551295	4.9757805
-1.4801102	-15.665238	0.8652511
-14.4661045	-2.2648954	5.093285
-1.5045135	-15.802039	0.763576
-3.438332	3.4918387	7.270924
1.4187775	5.326703	-13.326004
1.4021634	5.789083	-13.710412
-13.783821	-2.0967426	5.1902895
2.745015	-0.7357653	-9.245493
13.296898	2.4466298	-0.035663236
1.847604	6.0539427	-14.239476
1.1743196	-16.820429	3.525437
1.2907984	6.8051896	-13.599369
-1.834411	-15.841508	1.1173028
1.2907984	6.8051896	-13.599369
-3.245899	5.720083	9.176031
1.2787224	6.080808	-13.674368
-3.3167758	5.857804	9.19824
-14.647396	-1.9886011	5.552012
9.048027	2.3802989	7.3553658
5.267177	-2.5119517	4.670006
10.946321	4.1806936	5.65137
4.9012985	-2.3009682	4.7825565
1.1556698	-16.378855	3.966247
-3.1821318	6.16406	8.799057
-3.2842672	5.8849487	9.224396
3.4690993	-2.7000778	-3.4131432
-13.153858	-0.75259125	1.7849814
1.3883657	5.7876616	-13.722984
1.0100201	-16.594933	3.099373
1.3868492	5.7858963	-13.720788
2.5458934	1.2369354	-11.244156
2.9626873	-1.9094132	-7.01488
2.9620173	-1.9096001	-7.0169487
3.5889077	-2.7516418	-2.6230204
-2.1942735	6.7635784	7.0451374
2.5398786	1.3290584	-11.326148
2.541124	1.3437873	-11.346696
-1.9804856	-2.255572	10.439982
